"customer_id","first_name","last_name","phone","email","street","city","state","zip_code"
5,"Charolette","Rice","(916) 381-6003","charolette.rice@msn.com","107 River Dr. ","Sacramento","CA","95820"
7,"Latasha","Hays","(716) 986-3359","latasha.hays@hotmail.com","7014 Manor Station Rd. ","Buffalo","NY","14215"
12,"Robby","Sykes","(516) 583-7761","robby.sykes@hotmail.com","486 Rock Maple Street ","Hempstead","NY","11550"
16,"Emmitt","Sanchez","(212) 945-8823","emmitt.sanchez@hotmail.com","461 Squaw Creek Road ","New York","NY","10002"
26,"Theo","Reese","(562) 215-2907","theo.reese@gmail.com","8755 W. Wild Horse St. ","Long Beach","NY","11561"
31,"Williemae","Holloway","(510) 246-8375","williemae.holloway@msn.com","69 Cypress St. ","Oakland","CA","94603"
39,"Janetta","Aguirre","(717) 670-2634","janetta.aguirre@aol.com","214 Second Court ","Lancaster","NY","14086"
43,"Mozelle","Carter","(281) 489-9656","mozelle.carter@aol.com","895 Chestnut Ave. ","Houston","TX","77016"
56,"Lolita","Mosley","(281) 363-3309","lolita.mosley@hotmail.com","376 S. High Ridge St. ","Houston","TX","77016"
67,"Tommie","Melton","(916) 802-2952","tommie.melton@gmail.com","8 West Old York St. ","Sacramento","CA","95820"
80,"Sarai","Mckee","(716) 912-8110","sarai.mckee@msn.com","641 Glenwood Avenue ","Buffalo","NY","14215"
91,"Marvin","Mullins","(619) 635-2027","marvin.mullins@aol.com","7489 Redwood Drive ","San Diego","CA","92111"
93,"Corrina","Sawyer","(248) 370-1364","corrina.sawyer@yahoo.com","95 Briarwood Lane ","Troy","NY","12180"
109,"Monica","Sears","(408) 704-8863","monica.sears@aol.com","57 Glenholme St. ","San Jose","CA","95127"
110,"Ollie","Zimmerman","(657) 648-2863","ollie.zimmerman@yahoo.com","69 Wood Rd. ","Anaheim","CA","92806"
120,"Luz","House","(559) 114-2580","luz.house@gmail.com","491 Railroad Street ","Fresno","CA","93706"
123,"Robena","Hill","(361) 598-4414","robena.hill@hotmail.com","263 Cross St. ","Corpus Christi","TX","78418"
130,"Wes","Stanton","(248) 247-5074","wes.stanton@msn.com","8662 Tunnel Street ","Troy","NY","12180"
134,"Brianna","Moss","(516) 156-8031","brianna.moss@msn.com","4 Longfellow St. ","Hempstead","NY","11550"
135,"Dorthey","Jackson","(281) 926-8010","dorthey.jackson@msn.com","9768 Brookside St. ","Houston","TX","77016"
138,"Jone","Bernard","(657) 536-5165","jone.bernard@hotmail.com","99 Longbranch Court ","Anaheim","CA","92806"
165,"Jeromy","Burch","(408) 955-8238","jeromy.burch@msn.com","889 Mulberry Street ","San Jose","CA","95127"
170,"Regine","Gonzales","(805) 763-4045","regine.gonzales@gmail.com","798 Court Drive ","Oxnard","CA","93035"
178,"Genoveva","Tyler","(212) 152-6381","genoveva.tyler@gmail.com","8121 Windfall Ave. ","New York","NY","10002"
188,"Sharla","Flynn","(805) 478-7724","sharla.flynn@hotmail.com","7 Brown Drive ","Oxnard","CA","93035"
190,"Toya","Pratt","(562) 218-6405","toya.pratt@yahoo.com","485 San Pablo Drive ","Long Beach","NY","11561"
191,"Graciela","Barber","(805) 656-6987","graciela.barber@hotmail.com","1 E. Young St. ","Oxnard","CA","93035"
202,"Marni","Bolton","(717) 670-6268","marni.bolton@msn.com","7469 Plymouth Ave. ","Lancaster","NY","14086"
203,"Minerva","Decker","(281) 271-6390","minerva.decker@yahoo.com","794 Greenrose Street ","Houston","TX","77016"
210,"Priscilla","Wilkins","(229) 322-2269","priscilla.wilkins@aol.com","653 Pawnee Rd. ","Albany","NY","12203"
212,"Buford","Bridges","(248) 604-7346","buford.bridges@msn.com","239 Oak Valley Court ","Troy","NY","12180"
217,"Carline","Collier","(559) 810-6070","carline.collier@msn.com","28 Trenton Lane ","Fresno","CA","93706"
219,"Darcie","Morgan","(442) 618-7068","darcie.morgan@aol.com","476 East Adams Ave. ","Oceanside","NY","11572"
228,"Whitney","Estes","(631) 315-4020","whitney.estes@gmail.com","454 Bear Hill Street ","Brentwood","NY","11717"
231,"Jenee","Rasmussen","(916) 219-1774","jenee.rasmussen@hotmail.com","19 George Lane ","Sacramento","CA","95820"
250,"Ivonne","Yang","(915) 181-1950","ivonne.yang@gmail.com","7359 North Lake View St. ","El Paso","TX","79930"
262,"Rubin","Decker","(716) 950-9835","rubin.decker@gmail.com","9875 Shady Ave. ","Buffalo","NY","14215"
263,"Dortha","Jarvis","(442) 919-8256","dortha.jarvis@yahoo.com","76 Prince Drive ","Oceanside","NY","11572"
287,"Mireille","Puckett","(805) 961-9909","mireille.puckett@hotmail.com","378 Purple Finch Drive ","Oxnard","CA","93035"
292,"Monty","Frost","(516) 460-5396","monty.frost@aol.com","76 Foxrun Dr. ","Hempstead","NY","11550"
311,"Charise","Burt","(559) 888-2229","charise.burt@aol.com","582 Creek St. ","Fresno","CA","93706"
320,"Aron","Wiggins","(442) 497-3353","aron.wiggins@aol.com","6 Bradford St. ","Oceanside","NY","11572"
327,"Sharie","Alvarez","(212) 211-7621","sharie.alvarez@msn.com","987 West Leatherwood Dr. ","New York","NY","10002"
336,"Trisha","Johnson","(717) 126-8787","trisha.johnson@msn.com","59 Wild Horse St. ","Lancaster","NY","14086"
345,"Mi","Gray","(229) 813-2130","mi.gray@aol.com","27 Roehampton Dr. ","Albany","NY","12203"
347,"Kanesha","Hudson","(510) 788-7298","kanesha.hudson@gmail.com","8293 Gartner Drive ","Oakland","CA","94603"
357,"Sheri","Cole","(408) 658-2285","sheri.cole@aol.com","479 Chapel Court ","San Jose","CA","95127"
360,"Van","Peters","(281) 658-7772","van.peters@yahoo.com","45 Fifth Dr. ","Houston","TX","77016"
411,"Octavia","Case","(212) 171-1335","octavia.case@aol.com","40 Charles Road ","New York","NY","10002"
416,"Luke","Fuller","(516) 363-2253","luke.fuller@hotmail.com","576 Cleveland Lane ","Hempstead","NY","11550"
418,"Georgeanna","Webster","(805) 885-8830","georgeanna.webster@msn.com","40 Creekside Circle ","Oxnard","CA","93035"
442,"Alane","Munoz","(914) 706-7576","alane.munoz@gmail.com","8 Strawberry Dr. ","Yonkers","NY","10701"
443,"Ayana","Keith","(805) 230-2101","ayana.keith@hotmail.com","182 Thorne Road ","Oxnard","CA","93035"
448,"Janella","Bright","(507) 616-2958","janella.bright@aol.com","7317 Tower Dr. ","Rochester","NY","14606"
459,"Latosha","Dalton","(661) 529-4501","latosha.dalton@yahoo.com","59 E. Wintergreen Ave. ","Bakersfield","CA","93306"
461,"Effie","Jenkins","(631) 477-1277","effie.jenkins@msn.com","75 South Glen Eagles Court ","Brentwood","NY","11717"
465,"Birdie","Kramer","(248) 725-2174","birdie.kramer@hotmail.com","311 Newcastle Dr. ","Troy","NY","12180"
488,"Joaquin","Hawkins","(657) 557-1746","joaquin.hawkins@aol.com","3 Oklahoma Lane ","Anaheim","CA","92806"
501,"Tony","Hicks","(657) 260-6783","tony.hicks@gmail.com","226 Carriage Street ","Anaheim","CA","92806"
508,"Vance","Taylor","(717) 218-5607","vance.taylor@msn.com","8279 Military Dr. ","Lancaster","NY","14086"
511,"Julienne","Moody","(682) 841-4643","julienne.moody@hotmail.com","35 South Oxford Rd. ","Fort Worth","TX","76110"
522,"Tammera","Fischer","(510) 534-8845","tammera.fischer@hotmail.com","405 Olive St. ","Oakland","CA","94603"
528,"Angele","Schroeder","(845) 804-6312","angele.schroeder@yahoo.com","33 S. Shadow Brook Street ","New City","NY","10956"
531,"Kimberely","Bowen","(248) 199-2582","kimberely.bowen@hotmail.com","88 Belmont Street ","Troy","NY","12180"
533,"Garret","Clay","(361) 687-9477","garret.clay@yahoo.com","9516 College Drive ","Corpus Christi","TX","78418"
535,"Inge","Olsen","(562) 719-5041","inge.olsen@msn.com","295 Iroquois Rd. ","Long Beach","NY","11561"
546,"Thad","Castro","(631) 943-1407","thad.castro@msn.com","71 Surrey Ave. ","Brentwood","NY","11717"
549,"Elmo","Arnold","(562) 841-9339","elmo.arnold@aol.com","7616 Lyme Rd. ","Long Beach","NY","11561"
551,"Jenine","Crane","(682) 183-6555","jenine.crane@msn.com","7381 Alderwood Drive ","Fort Worth","TX","76110"
559,"Basilia","Thornton","(631) 592-9548","basilia.thornton@hotmail.com","9033 Pine Dr. ","Brentwood","NY","11717"
573,"Rubye","Mccall","(248) 764-3359","rubye.mccall@hotmail.com","71 Sherwood Dr. ","Troy","NY","12180"
576,"Shirely","Stanley","(915) 437-6113","shirely.stanley@gmail.com","73 White Avenue ","El Paso","TX","79930"
580,"Mellisa","Kim","(424) 151-6481","mellisa.kim@aol.com","17 Lyme Dr. ","Los Angeles","CA","90008"
583,"Lashandra","Turner","(562) 327-9469","lashandra.turner@hotmail.com","11 Marlborough Rd. ","Long Beach","NY","11561"
584,"Lynne","Anderson","(915) 789-6666","lynne.anderson@msn.com","325 Inverness St. ","El Paso","TX","79930"
600,"Joi","Reeves","(619) 952-9613","joi.reeves@msn.com","9101 Williams Court ","San Diego","CA","92111"
619,"Ana","Palmer","(657) 323-8684","ana.palmer@yahoo.com","7 Buckingham St. ","Anaheim","CA","92806"
624,"Sharika","Colon","(562) 452-6136","sharika.colon@gmail.com","509 Henry Smith St. ","Long Beach","NY","11561"
629,"Evelina","Byrd","(716) 601-7704","evelina.byrd@msn.com","628 S. Church St. ","Buffalo","NY","14215"
633,"Kiara","Deleon","(657) 378-8011","kiara.deleon@gmail.com","164 Addison Drive ","Anaheim","CA","92806"
640,"Allison","Nolan","(845) 276-5729","allison.nolan@gmail.com","7421 Victoria St. ","New City","NY","10956"
645,"Lewis","Garner","(631) 871-2512","lewis.garner@gmail.com","9550 East Greenrose St. ","Brentwood","NY","11717"
652,"Tilda","Melton","(248) 767-4165","tilda.melton@msn.com","237 Elmwood Drive ","Troy","NY","12180"
654,"Eun","Harris","(619) 378-2432","eun.harris@gmail.com","623 Jones St. ","San Diego","CA","92111"
665,"Stacie","Sims","(510) 194-5117","stacie.sims@hotmail.com","47 Orange Ave. ","Oakland","CA","94603"
675,"Kermit","Bowman","(915) 996-5952","kermit.bowman@gmail.com","3 Airport Street ","El Paso","TX","79930"
680,"Mathilda","Pennington","(845) 407-9524","mathilda.pennington@gmail.com","14 S. Argyle Ave. ","New City","NY","10956"
691,"Ladawn","Downs","(281) 165-2090","ladawn.downs@yahoo.com","7452 S. Airport Court ","Houston","TX","77016"
693,"Merlin","Foreman","(516) 150-1321","merlin.foreman@msn.com","8198 North Rockaway St. ","Hempstead","NY","11550"
697,"Alane","Mccarty","(619) 377-8586","alane.mccarty@hotmail.com","8254 Hilldale Street ","San Diego","CA","92111"
700,"Collene","Knox","(361) 760-1523","collene.knox@msn.com","7 North Branch Lane ","Corpus Christi","TX","78418"
701,"Alysia","Nicholson","(805) 493-7311","alysia.nicholson@hotmail.com","868 Trusel St. ","Oxnard","CA","93035"
704,"Morton","Barron","(661) 386-4884","morton.barron@msn.com","542 Circle Rd. ","Bakersfield","CA","93306"
720,"Devin","Shaffer","(507) 557-2191","devin.shaffer@gmail.com","382 Third Ave. ","Rochester","NY","14606"
722,"Camila","Carroll","(210) 436-8676","camila.carroll@yahoo.com","72 Shub Farm Avenue ","San Antonio","TX","78213"
731,"Hilary","Savage","(805) 753-6881","hilary.savage@yahoo.com","696 Howard Court ","Oxnard","CA","93035"
738,"Fannie","Jenkins","(805) 774-5696","fannie.jenkins@msn.com","7858 E. Pawnee Dr. ","Oxnard","CA","93035"
759,"Cira","Downs","(510) 788-4456","cira.downs@gmail.com","672 Sussex Ave. ","Oakland","CA","94603"
767,"Twana","Arnold","(657) 988-1904","twana.arnold@msn.com","47 North Fairground Lane ","Anaheim","CA","92806"
771,"Agnes","Sims","(716) 780-9901","agnes.sims@aol.com","170 Queen Lane ","Buffalo","NY","14215"
783,"Celestine","Kent","(717) 890-4260","celestine.kent@aol.com","697 Fordham Street ","Lancaster","NY","14086"
810,"Ivelisse","Nixon","(281) 941-4933","ivelisse.nixon@aol.com","782 Boston Ave. ","Houston","TX","77016"
817,"Zelda","Pratt","(717) 428-4018","zelda.pratt@gmail.com","74 Trusel Drive ","Lancaster","NY","14086"
818,"Joel","Wynn","(619) 210-6032","joel.wynn@aol.com","7 North Oak Ave. ","San Diego","CA","92111"
854,"Phylis","Adkins","(212) 325-9145","phylis.adkins@msn.com","7781 James Ave. ","New York","NY","10002"
864,"Lore","Sykes","(716) 382-5169","lore.sykes@aol.com","7050 Beach Drive ","Buffalo","NY","14215"
868,"Domingo","Casey","(408) 761-9212","domingo.casey@msn.com","8665 Cypress Street ","San Jose","CA","95127"
872,"Silas","Tate","(361) 219-2149","silas.tate@yahoo.com","9754 53rd Court ","Corpus Christi","TX","78418"
883,"Gilberte","Duke","(915) 903-7860","gilberte.duke@gmail.com","12 Birchwood Dr. ","El Paso","TX","79930"
896,"Stefani","Gamble","(845) 724-2996","stefani.gamble@aol.com","9119 W. Victoria St. ","New City","NY","10956"
897,"Bettyann","Acosta","(717) 746-6658","bettyann.acosta@gmail.com","7949 Chapel St. ","Lancaster","NY","14086"
898,"Crysta","Velez","(281) 529-3469","crysta.velez@yahoo.com","64 South Front Street ","Houston","TX","77016"
904,"Jana","Thomas","(408) 624-8137","jana.thomas@yahoo.com","283 E. Spring Dr. ","San Jose","CA","95127"
915,"Beryl","Bennett","(916) 422-6956","beryl.bennett@aol.com","9563 Edgemont St. ","Sacramento","CA","95820"
917,"Vernia","Madden","(248) 206-3697","vernia.madden@aol.com","5 Iroquois Street ","Troy","NY","12180"
926,"Katina","Mcintosh","(661) 464-1523","katina.mcintosh@yahoo.com","263 Swanson Dr. ","Bakersfield","CA","93306"
927,"Guillermo","Hart","(212) 652-7198","guillermo.hart@hotmail.com","81 Indian Summer Drive ","New York","NY","10002"
938,"Emory","O'connor","(507) 606-2192","emory.o'connor@gmail.com","34 Foxrun Street ","Rochester","NY","14606"
939,"Maximina","Hutchinson","(361) 164-3098","maximina.hutchinson@hotmail.com","53 Stillwater Avenue ","Corpus Christi","TX","78418"
942,"Davis","Long","(717) 653-1755","davis.long@msn.com","929 Elmwood Dr. ","Lancaster","NY","14086"
950,"Verna","Solis","(507) 115-1633","verna.solis@yahoo.com","7 Lincoln Lane ","Rochester","NY","14606"
957,"Stephen","Vega","(657) 288-3778","stephen.vega@msn.com","5 Briarwood St. ","Anaheim","CA","92806"
959,"Christel","Barber","(916) 679-3547","christel.barber@hotmail.com","320 Briarwood Lane ","Sacramento","CA","95820"
960,"Arline","Lawson","(516) 792-3395","arline.lawson@gmail.com","48 Whitemarsh Lane ","Hempstead","NY","11550"
964,"Brent","Calderon","(361) 981-8725","brent.calderon@aol.com","3 Thomas St. ","Corpus Christi","TX","78418"
969,"Jennell","Solis","(507) 421-7354","jennell.solis@hotmail.com","194 2nd Rd. ","Rochester","NY","14606"
971,"Samual","Warner","(631) 151-4988","samual.warner@gmail.com","8735 Thatcher Dr. ","Brentwood","NY","11717"
972,"Damian","Mills","(562) 924-3079","damian.mills@yahoo.com","7747 Elm Dr. ","Long Beach","NY","11561"
975,"Annis","Sanchez","(424) 352-6275","annis.sanchez@aol.com","4 Edgewater Road ","Los Angeles","CA","90008"
981,"Christel","Cardenas","(562) 342-8083","christel.cardenas@aol.com","428 S. Swanson Drive ","Long Beach","NY","11561"
1001,"Lee","Roman","(631) 913-6967","lee.roman@gmail.com","4 Canal Ave. ","Brentwood","NY","11717"
1016,"Shenna","Benton","(212) 578-2912","shenna.benton@msn.com","57 Shadow Brook Road ","New York","NY","10002"
1017,"Philip","Bryan","(510) 533-4262","philip.bryan@hotmail.com","914 Devonshire Court ","Oakland","CA","94603"
1024,"Coleman","Boyd","(915) 607-6336","coleman.boyd@yahoo.com","9740 Bay Meadows Drive ","El Paso","TX","79930"
1052,"Zora","Ford","(916) 192-3196","zora.ford@gmail.com","7416 La Sierra Dr. ","Sacramento","CA","95820"
1060,"Tommie","Cooley","(717) 634-4113","tommie.cooley@yahoo.com","92 Hickory St. ","Lancaster","NY","14086"
1066,"Raeann","Duncan","(657) 256-2008","raeann.duncan@aol.com","126 Edgewood St. ","Anaheim","CA","92806"
1082,"Divina","Madden","(562) 264-3998","divina.madden@gmail.com","7314 Armstrong St. ","Long Beach","NY","11561"
1102,"Henrietta","Wagner","(682) 143-2224","henrietta.wagner@hotmail.com","54 Brickyard St. ","Fort Worth","TX","76110"
1114,"Douglass","Blankenship","(229) 891-2087","douglass.blankenship@hotmail.com","409 W. Rock Maple Lane ","Albany","NY","12203"
1136,"Kallie","Best","(507) 997-4112","kallie.best@aol.com","9842 Fairview St. ","Rochester","NY","14606"
1145,"Deandrea","Vega","(914) 818-7312","deandrea.vega@gmail.com","613 Mill Pond St. ","Yonkers","NY","10701"
1150,"Keturah","Reid","(361) 394-2024","keturah.reid@yahoo.com","747 SE. Beech Ave. ","Corpus Christi","TX","78418"
1157,"Anton","Barton","(716) 472-3707","anton.barton@msn.com","7284 East Indian Spring Rd. ","Buffalo","NY","14215"
1165,"Rikki","Morrow","(682) 936-1482","rikki.morrow@hotmail.com","7096 Plumb Branch Road ","Fort Worth","TX","76110"
1174,"Aaron","Knapp","(914) 402-4335","aaron.knapp@yahoo.com","807 Grandrose Ave. ","Yonkers","NY","10701"
1178,"Wendie","Nash","(805) 389-2549","wendie.nash@hotmail.com","9 South Road ","Oxnard","CA","93035"
1188,"Marcene","Curtis","(914) 361-6045","marcene.curtis@msn.com","7699 Illinois Lane ","Yonkers","NY","10701"
1191,"Tam","Fisher","(507) 351-9375","tam.fisher@aol.com","8000 Woodsman Lane ","Rochester","NY","14606"
1195,"Chantell","Bridges","(716) 941-6072","chantell.bridges@yahoo.com","8478 N. Wrangler Dr. ","Buffalo","NY","14215"
1207,"Jenell","Crosby","(631) 544-4772","jenell.crosby@hotmail.com","507 Fulton Street ","Brentwood","NY","11717"
1217,"Carlie","Terrell","(914) 517-8036","carlie.terrell@yahoo.com","7437 Snake Hill Road ","Yonkers","NY","10701"
1218,"Donovan","Cantrell","(510) 624-3824","donovan.cantrell@msn.com","601 Winchester Dr. ","Oakland","CA","94603"
1227,"Magali","Dixon","(248) 279-5331","magali.dixon@msn.com","815 Del Monte Court ","Troy","NY","12180"
1228,"Zulema","Clemons","(510) 565-8496","zulema.clemons@aol.com","75 W. Howard St. ","Oakland","CA","94603"
1245,"Gabriela","Warren","(562) 986-2247","gabriela.warren@aol.com","9947 Brewery Ave. ","Long Beach","NY","11561"
1264,"Devin","Velazquez","(631) 254-8497","devin.velazquez@aol.com","61 Redwood St. ","Brentwood","NY","11717"
1282,"Alexis","Mack","(845) 707-6088","alexis.mack@aol.com","7767 Sutor Ave. ","New City","NY","10956"
1305,"Dalia","Carson","(507) 186-2004","dalia.carson@aol.com","7175 Galvin St. ","Rochester","NY","14606"
1318,"Tisha","Petty","(210) 851-3122","tisha.petty@msn.com","9083 Lake View Ave. ","San Antonio","TX","78213"
1339,"Neida","King","(442) 778-1121","neida.king@aol.com","137 Bohemia St. ","Oceanside","NY","11572"
1346,"Sanora","Webster","(424) 464-7290","sanora.webster@msn.com","74 Beach St. ","Los Angeles","CA","90008"
1357,"Karren","Lamb","(559) 628-2239","karren.lamb@aol.com","35 N. Chapel St. ","Fresno","CA","93706"
1363,"Nestor","Haynes","(281) 969-4579","nestor.haynes@msn.com","27 Nut Swamp Street ","Houston","TX","77016"
1370,"Rona","Rojas","(408) 611-3553","rona.rojas@gmail.com","815 Riverview St. ","San Jose","CA","95127"
1377,"Johana","Jacobson","(507) 407-9384","johana.jacobson@gmail.com","29 San Juan St. ","Rochester","NY","14606"
1378,"Enoch","Rosario","(559) 329-7615","enoch.rosario@hotmail.com","186 Arlington St. ","Fresno","CA","93706"
1383,"Desire","Mcgowan","(661) 800-8091","desire.mcgowan@msn.com","942 North Ohio Road ","Bakersfield","CA","93306"
1386,"Cesar","Wilkins","(619) 685-5786","cesar.wilkins@hotmail.com","7 Inverness St. ","San Diego","CA","92111"
1396,"Delma","Bailey","(657) 454-8493","delma.bailey@gmail.com","9883 West King Lane ","Anaheim","CA","92806"
1403,"Mila","Moody","(248) 234-5902","mila.moody@gmail.com","675 Williams St. ","Troy","NY","12180"
1409,"Lamar","Bush","(716) 294-7174","lamar.bush@msn.com","76 Lilac Drive ","Buffalo","NY","14215"
1410,"Lurlene","Finch","(914) 367-7691","lurlene.finch@msn.com","849 Magnolia St. ","Yonkers","NY","10701"
1418,"Penni","Best","(657) 611-2991","penni.best@msn.com","875 Second Drive ","Anaheim","CA","92806"
1423,"Dollie","Cervantes","(682) 362-7457","dollie.cervantes@aol.com","8828 Applegate Drive ","Fort Worth","TX","76110"
1426,"Londa","Gould","(361) 206-5550","londa.gould@aol.com","9169 Beech Lane ","Corpus Christi","TX","78418"
1430,"Tayna","Wade","(661) 858-1224","tayna.wade@hotmail.com","65 Smith Store Dr. ","Bakersfield","CA","93306"
1438,"Lee","Dunn","(408) 807-6157","lee.dunn@aol.com","8626 Grand Ave. ","San Jose","CA","95127"
